SCHOOL_YEAR,LEVEL_CODE,DIV_NUM,DIV_NAME,SCH_NUM,SCH_NAME,FEDERAL_RACE_CODE,GENDER,DISABILITY_FLAG,LEP_FLAG,DISADVANTAGED_FLAG,CTE_PROGRAM_NUM,CTE_PROGRAM_NAME,COMPLETER_CNT
2014-2015,DIV,1,Accomack County ,,,5,,N,N,N,0401,General Management,12
2014-2015,DIV,1,Accomack County ,,,5,,N,N,,0401,General Management,17
2014-2015,DIV,1,Accomack County ,,,5,,N,,N,0401,General Management,12
2014-2015,DIV,1,Accomack County ,,,5,,N,,,0401,General Management,17
2014-2015,DIV,1,Accomack County ,,,5,,,N,N,0401,General Management,12
2014-2015,DIV,1,Accomack County ,,,5,,,N,,0401,General Management,17
2014-2015,DIV,1,Accomack County ,,,5,,,,N,0401,General Management,12
2014-2015,DIV,1,Accomack County ,,,5,,,,,0401,General Management,17
2014-2015,DIV,1,Accomack County ,,,,F,N,N,,0401,General Management,13
2014-2015,DIV,1,Accomack County ,,,,F,N,,,0401,General Management,14
2014-2015,DIV,1,Accomack County ,,,,F,,N,,0401,General Management,13
2014-2015,DIV,1,Accomack County ,,,,F,,,,0401,General Management,14
2014-2015,DIV,1,Accomack County ,,,,M,N,N,,0401,General Management,12
2014-2015,DIV,1,Accomack County ,,,,M,N,,,0401,General Management,13
2014-2015,DIV,1,Accomack County ,,,,M,,N,,0401,General Management,12
2014-2015,DIV,1,Accomack County ,,,,M,,,,0401,General Management,13
2014-2015,DIV,1,Accomack County ,,,,,N,N,N,0401,General Management,13
2014-2015,DIV,1,Accomack County ,,,,,N,N,Y,0401,General Management,12
2014-2015,DIV,1,Accomack County ,,,,,N,N,,0401,General Management,25
2014-2015,DIV,1,Accomack County ,,,,,N,,N,0401,General Management,13
2014-2015,DIV,1,Accomack County ,,,,,N,,Y,0401,General Management,14
2014-2015,DIV,1,Accomack County ,,,,,N,,,0401,General Management,27
2014-2015,DIV,1,Accomack County ,,,,,,N,N,0401,General Management,13
2014-2015,DIV,1,Accomack County ,,,,,,N,Y,0401,General Management,12
2014-2015,DIV,1,Accomack County ,,,,,,N,,0401,General Management,25
2014-2015,DIV,1,Accomack County ,,,,,,,N,0401,General Management,13
2014-2015,DIV,1,Accomack County ,,,,,,,Y,0401,General Management,14
2014-2015,DIV,1,Accomack County ,,,,,,,,0401,General Management,27
2014-2015,DIV,1,Accomack County ,,,,,N,N,,0402,Business Information Management,11
2014-2015,DIV,1,Accomack County ,,,,,N,,,0402,Business Information Management,11
2014-2015,DIV,1,Accomack County ,,,,,,N,,0402,Business Information Management,11
2014-2015,DIV,1,Accomack County ,,,,,,,,0402,Business Information Management,11
2014-2015,DIV,1,Accomack County ,,,,,N,,,0901,Restaurants and Food/Beverage Services,11
2014-2015,DIV,1,Accomack County ,,,,,,N,,0901,Restaurants and Food/Beverage Services,12
2014-2015,DIV,1,Accomack County ,,,,,,,,0901,Restaurants and Food/Beverage Services,13
2014-2015,DIV,1,Accomack County ,,,,F,N,N,,1004,Personal Care Services,15
2014-2015,DIV,1,Accomack County ,,,,F,N,,,1004,Personal Care Services,15
2014-2015,DIV,1,Accomack County ,,,,F,,N,Y,1004,Personal Care Services,11
2014-2015,DIV,1,Accomack County ,,,,F,,N,,1004,Personal Care Services,16
2014-2015,DIV,1,Accomack County ,,,,F,,,Y,1004,Personal Care Services,11
2014-2015,DIV,1,Accomack County ,,,,F,,,,1004,Personal Care Services,16
2014-2015,DIV,1,Accomack County ,,,,,N,N,,1004,Personal Care Services,16
2014-2015,DIV,1,Accomack County ,,,,,N,,,1004,Personal Care Services,16
2014-2015,DIV,1,Accomack County ,,,,,,N,Y,1004,Personal Care Services,11
2014-2015,DIV,1,Accomack County ,,,,,,N,,1004,Personal Care Services,17
2014-2015,DIV,1,Accomack County ,,,,,,,Y,1004,Personal Care Services,11
2014-2015,DIV,1,Accomack County ,,,,,,,,1004,Personal Care Services,17
2014-2015,DIV,1,Accomack County ,,,,F,N,,,1005,Consumer Services,11
2014-2015,DIV,1,Accomack County ,,,,F,,,,1005,Consumer Services,11
2014-2015,DIV,1,Accomack County ,,,,,N,N,,1005,Consumer Services,12
2014-2015,DIV,1,Accomack County ,,,,,N,,,1005,Consumer Services,13
2014-2015,DIV,1,Accomack County ,,,,,,N,,1005,Consumer Services,12
2014-2015,DIV,1,Accomack County ,,,,,,,,1005,Consumer Services,13
2014-2015,DIV,1,Accomack County ,,,,,N,N,,1401,Marketing Management,12
2014-2015,DIV,1,Accomack County ,,,,,N,,,1401,Marketing Management,12
2014-2015,DIV,1,Accomack County ,,,,,,N,,1401,Marketing Management,13
2014-2015,DIV,1,Accomack County ,,,,,,,,1401,Marketing Management,13
2014-2015,DIV,1,Accomack County ,,,5,,,N,,1501,Engineering and Technology,11
2014-2015,DIV,1,Accomack County ,,,5,,,,,1501,Engineering and Technology,11
2014-2015,DIV,1,Accomack County ,,,,M,N,N,Y,1501,Engineering and Technology,11
2014-2015,DIV,1,Accomack County ,,,,M,N,N,,1501,Engineering and Technology,16
