div_num,sch_num,sch_name
,,
001,,
001,0070,Nandua High
001,0080,Chincoteague Elementary
001,0530,Tangier Comb.
001,0530,Tangier Combined
001,0540,Arcadia High
001,0580,Chincoteague High
001,0590,Pungoteague Elementary
001,0600,Kegotank Elementary
001,0600,Kegotank Elementary.
001,0701,Accawmacke Elementary
001,0702,Metompkin Elementary
001,0703,Nandua Middle
001,0704,Arcadia Middle 
002,,
002,0010,Hollymead Elementary
002,0020,Leslie H. Walton Middle
002,0030,Scottsville Elementary
002,0040,Mary Carr Greer Elementary
002,0069,Jackson P. Burley Middle
002,0100,Broadus Wood Elementary
002,0140,Western Albemarle High
002,0150,Paul H. Cale Elementary
002,0160,Agnor-Hurt Elementary
002,0240,Stony Point Elementary
002,0250,Meriwether Lewis Elementary
002,0340,Crozet Elementary
002,0540,Red Hill Elementary
002,0880,Albemarle High
002,0890,Murray High
002,0900,Benjamin F. Yancey Elementary
002,0910,Virginia L. Murray Elementary
002,0920,Stone Robinson Elementary
002,0930,Woodbrook Elementary
002,0941,Brownsville Elementary
002,0942,Joseph T. Henley Middle
002,0950,Jack Jouett Middle
002,1051,Mortimer Y. Sutherland Middle
002,1052,Monticello High
002,1053,Baker-Butler Elementary
002,1060,Albemarle County Community Public Charter School
003,,
003,0020,Falling Spring Elementary
003,0090,Sharon Elementary
003,0110,Callaghan Elementary
003,0280,Boiling Spring Elementary
003,0310,Alleghany High
003,0310,Alleghany High School
003,1040,Clifton Middle
003,1040,Clifton Middle School
003,1041,Mountain View Elementary
003,1041,Mt. View Elementary
004,,
004,0010,Amelia County High
004,0210,Amelia County Middle
004,0220,Amelia County Elementary
005,,
005,0020,Monelison Middle
005,0240,Pleasant View Elementary
005,0500,Madison Heights Elementary
005,0670,Amherst Middle
005,0670,Amherst Middle School
005,0740,Temperance Elementary
005,0750,Amherst County High
005,0760,Elon Elementary
005,0770,Central Elementary
005,0780,Amelon Elementary
005,0790,Amherst Elementary
006,,
006,0110,Appomattox Elementary
006,0160,Appomattox Middle
006,0250,Appomattox Primary
006,0260,Appomattox County High
007,,
007,0080,Washington Lee High
007,0080,Washington-Lee High
007,0090,Carlin Springs
007,0090,Carlin Springs Elementary
007,0100,Glebe Elementary
007,0111,Francis Scott Key Elementary
007,0150,Barcroft Elementary
007,0160,Henry Elementary
007,0180,Jefferson Middle
007,0200,Drew Model Elementary
007,0211,Tuckahoe Elementary
007,0240,Swanson Middle
007,0250,Barrett Elementary
007,0330,Yorktown High
007,0350,Abingdon Elementary
007,0360,Oakridge Elementary
007,0380,McKinley Elementary
007,0380,Mckinley Elementary
007,0410,Nottingham Elementary
007,0420,Taylor Elementary
007,0440,Jamestown Elementary
007,0450,Wakefield High
007,0460,Long Branch Elementary
007,0470,Arlington Traditional
007,0480,Williamsburg Middle
007,0490,Ashlawn Elementary
007,0500,Kenmore Middle
007,0510,Randolph Elementary
007,0611,Gunston Middle
007,0613,Arlington Science Focus School
007,0614,Hoffman-Boston Elementary
007,0615,Campbell Elementary
007,0622,Claremont Immersion
007,0622,Claremont Immersion School
008,,
008,0030,Cassell Elementary
008,0040,North River Elementary
008,0060,Stuarts Draft Middle
008,0090,S. Gordon Stewart Middle
008,0140,Churchville Elementary
008,0210,Beverley Manor Elementary
008,0212,Beverley Manor Middle
008,0370,Craigsville Elementary
008,0440,Stuarts Draft Elementary
008,0640,Wilson Elementary
008,0660,Buffalo Gap High
008,0670,Fort Defiance High
008,0670,Ft. Defiance High
008,0680,Riverheads High
008,0700,Ladd Elementary
008,0710,Verona Elementary
008,0720,Wilson Memorial High
008,0730,Stuarts Draft High
008,0740,Riverheads Elementary
008,0842,Edward G. Clymore Elementary
008,0843,Guy K. Stump Elementary
008,0844,Wilson Middle
008,0844,Wilson Middle School
009,,
009,0120,Millboro Elementary
009,0140,Bath County High
009,0150,Valley Elementary
010,,
010,0030,Big Island Elementary
010,0160,Boonsboro Elementary
010,0180,Montvale Elementary
010,0450,Thaxton Elementary
010,0480,Bedford Elementary
010,0490,Bedford Middle
010,0500,Forest Elementary
010,0610,New London Academy Elementary
010,0640,Stewartsville Elementary
010,0970,Moneta Elementary
010,0980,Huddleston Elementary
010,1160,Body Camp Elementary
010,1170,Otter River Elementary
010,1180,Liberty High
010,1190,Staunton River High
010,1191,Staunton River Middle
010,1200,Bedford Primary
010,1211,Forest Middle
010,1212,Jefferson Forest High
010,1213,Thomas Jefferson Elementary
010,1214,Goodview Elementary
011,,
011,0061,Rocky Gap High
011,0062,Rocky Gap Elementary
011,0231,Bland High
011,0232,Bland Elementary
012,,
012,0020,Buchanan Elementary
012,0030,Eagle Rock Elementary
012,0040,Troutville Elementary
012,0220,Breckinridge Elementary
012,0390,Cloverdale Elementary
012,0400,Colonial Elementary
012,0420,Central Academy Middle
012,0430,James River High
012,0440,Lord Botetourt High
012,0450,Read Mountain Middle
012,0460,Greenfield Elementary
013,,
013,0650,Brunswick High
013,0660,James S. Russell Middle
013,0690,Meherrin Powellton Elementary
013,0700,Red Oak-Sturgeon Elementary
013,0720,Totaro Elementary
014,,
014,0010,Russell Prater Elementary
014,0020,J. M. Bevins Elementary
014,0020,J.M. Bevins Elementary
014,0090,Council Elementary
014,0090,Council Elementary/Middle
014,0120,Hurley Elementary/Middle
014,0120,Hurley Middle
014,0990,Grundy High
014,1000,Council High
014,1020,Hurley High
014,1040,Riverview Elem/Middle
014,1040,Riverview Elementary/Middle
014,1041,Twin Valley Elem/Middle
014,1041,Twin Valley Elementary/Middle
014,1042,Twin Valley High
015,,
015,0010,Buckingham Primary
015,0510,Dillwyn Primary
015,0700,Buckingham County High
015,0721,Buckingham Co. Middle
015,0721,Buckingham County Middle
015,0722,Dillwyn Elementary
015,0730,Gold Hill Elementary
016,,
016,0020,Brookville Middle
016,0060,Tomahawk Elementary
016,0130,Concord Elementary
016,0200,Altavista High
016,0210,Rustburg Middle
016,0211,Rustburg Middle
016,0211,Rustburg Middle School
016,0222,Rustburg High
016,0542,William Campbell High
016,0560,Altavista Elementary
016,0640,Brookneal Elementary
016,0650,Campbell County Elementary
016,0670,Gladys Elementary
016,0690,Leesville Road Elementary
016,0710,Yellow Branch Elementary
016,0720,Brookville High
016,0821,Rustburg Elementary
017,,
017,0330,Ladysmith Elementary
017,0450,Caroline Middle
017,0460,Caroline High
017,0610,Bowling Green Primary
017,0620,Bowling Green Elementary
017,0630,Ladysmith Primary
017,0630,Madison Elementary
017,9020,Lewis & Clark Elementary
017,9020,Lewis & Clark Elementary School
018,,
018,0360,Carroll County Int.
018,0360,Carroll County Intermediate
018,0360,Carroll County Intermediate School
018,0450,Woodlawn School
018,1110,St. Paul School
018,1130,Oakland Elementary
018,1130,Oakland Elementary School
018,1150,Gladesboro Elementary
018,1150,Gladesboro Elementary School
018,1160,Laurel Elementary
018,1160,Laurel Elementary School
018,1170,Hillsville Elementary
018,1170,Hillsville Elementary School
018,1180,Fancy Gap Elementary
018,1180,Fancy Gap Elementary School
018,1210,Gladeville Elementary
018,1210,Gladeville Elementary School
018,1230,Carroll County High
018,1230,Carroll County High School
019,,
019,0080,Charles City Co. Elementary
019,0080,Charles City County Elementary
019,0100,Charles City Co. High
019,0100,Charles City County High
019,0110,Charles City Co. Middle
019,0110,Charles City County Middle
020,,
020,0100,Eureka Elementary
020,0110,Phenix Elementary
020,0210,Central Middle
020,0450,J. Murray Jeffress Elementary
020,0460,Randolph Henry High
020,0460,Randolph Henry Sr. High
020,0470,Bacon District Elementary
020,0571,Early Learning Center
020,0571,Pre-K/Early Learning Ctr
021,,
021,0010,Lloyd C. Bird High
021,0020,Bon Air Elementary
021,0030,Chesterfield Community High
021,0040,Midlothian Middle
021,0050,C. C. Wells Elementary
021,0050,C.C. Wells Elementary
021,0060,Hopkins Road Elementary
021,0070,Greenfield Elementary
021,0110,Matoaca Middle
021,0130,Beulah Elementary
021,0150,Clover Hill Elementary
021,0180,Grange Hall Elementary
021,0260,Chester Middle
021,0270,Swift Creek Middle
021,0280,Monacan High
021,0290,W. W. Gordon Elementary
021,0290,W.W. Gordon Elementary
021,0300,Evergreen Elementary
021,0320,Midlothian High
021,0340,Swift Creek Elementary
021,0350,Ettrick Elementary
021,0360,O. B. Gates Elementary
021,0360,O.B. Gates Elementary
021,0370,Matoaca Elementary
021,0380,Providence Elementary
021,0390,Enon Elementary
021,0400,Jacobs Road Elementary
021,0410,Thelma Crenshaw Elementary
021,0420,Carver Middle
021,0430,Bensley Elementary
021,0440,Woolridge Elementary
021,0450,Perrymont Middle
021,0460,Harrowgate Elementary
021,0480,Ecoff Elementary
021,0492,C. E. Curtis Elementary
021,0492,C.E. Curtis Elementary
021,0500,J. G. Hening Elementary
021,0500,J.G. Hening Elementary
021,0510,Bettie Weaver Elementary
021,0530,Matoaca High
021,0550,J. A. Chalkley Elementary
021,0550,J.A. Chalkley Elementary
021,0560,Crestwood Elementary
021,0580,Meadowbrook High
021,0590,Falling Creek Elementary
021,0600,Manchester Middle
021,0610,Thomas Dale High
021,0620,A. M. Davis Elementary
021,0620,A.M. Davis Elementary
021,0631,Bailey Bridge Middle
021,0632,Manchester High
021,0650,J. B. Watkins Elementary
021,0650,J.B. Watkins Elementary
021,0660,Bellwood Elementary
021,0670,Falling Creek Middle
021,0690,Providence Middle
021,0700,Reams Road Elementary
021,0720,Salem Church Elementary
021,0722,Salem Church Middle
021,0730,Robious Elementary
021,0740,Clover Hill High
021,0760,Robious Middle
021,0770,James River High
021,0780,Marguerite F. Christian Elementary
021,0800,Spring Run Elementary
021,0840,Cosby High
021,0850,Elizabeth Scott Elementary
021,0850,Elizabeth Scott Elementary School
021,0860,Winterpock Elementary
021,0860,Winterpock Elementary School
021,0861,Alberta Smith Elementary
021,0864,Specialized Programs - Headstart
021,0870,Elizabeth Davis Middle
021,0870,Elizabeth Davis Middle School
021,0880,Tomahawk Creek Middle
021,0880,Tomahawk Creek Middle School
022,,
022,0010,Clarke County High
022,0060,Berryville Primary
022,0250,Boyce Elementary
022,0280,Johnson-Williams Middle
022,0290,D. G. Cooley Elementary
022,0290,D.G. Cooley Elementary
023,,
023,0010,McCleary Elementary
023,0010,Mccleary Elementary
023,0011,Craig County High
024,,
024,0010,Pearl Sample Elementary
024,0020,Culpeper Middle
024,0040,Yowell Elementary
024,0040,Yowell Elementary School
024,0050,Eastern View High
024,0050,Eastern View High School
024,0240,A. G. Richardson Elementary
024,0240,A.G. Richardson Elementary
024,0450,Emerald Hill Elementary
024,0460,Sycamore Park Elementary
024,0470,Farmington Elementary
024,0480,Culpeper County High
024,0581,Floyd T. Binns Middle
024,0582,Galbreath-Marshall Bldg
024,0582,Galbreath-Marshall Building
025,,
025,0140,Cumberland Elementary
025,0151,Cumberland High
025,0152,Cumberland Middle
026,,
026,0020,Clintwood Elementary
026,0040,Clinchco Elementary
026,0120,Haysi High
026,0271,Clintwood High
026,0530,Ervinton Elementary
026,0840,Ervinton High
026,0850,Longs Fork Elementary
026,0860,Sandlick Elementary
027,,
027,0010,Southside Elementary
027,0180,Sunnyside Elementary
027,0250,Midway Elementary
027,0310,Dinwiddie Elementary
027,0471,Dinwiddie County Middle
027,0471,Dinwiddie Middle
027,0500,Dinwiddie County High
027,0500,Dinwiddie Senior High
027,0510,Dinwiddie Junior High
027,0510,Dinwiddie Junior High School
027,0520,Rohoic Elementary
027,0520,Sutherland Elementary
028,,
028,0010,Essex High
028,0150,Essex Int.
028,0150,Essex Intermediate
028,0160,Tappahannock Elementary
029,,
029,0020,Fairfax High
029,0020,Fairfax High School
029,0032,Herndon High
029,0032,Herndon High School
029,0033,Herndon Middle
029,0033,Herndon Middle School
029,0070,Forest Edge Elementary
029,0070,Forest Edge Elementary School
029,0080,Franklin Sherman Elementary School
029,0080,Sherman Elementary
029,0090,Lake Braddock Secondary
029,0090,Lake Braddock Secondary School
029,0100,Chesterbrook Elementary
029,0100,Chesterbrook Elementary School
029,0110,Archer Elementary
029,0110,Louise Archer Elementary
029,0110,Louise Archer Elementary School
029,0120,Vienna Elementary
029,0120,Vienna Elementary School
029,0131,Chantilly High
029,0131,Chantilly High School
029,0140,Oakton Elementary
029,0140,Oakton Elementary School
029,0150,Orange Hunt Elementary
029,0150,Orange Hunt Elementary School
029,0170,Terra Centre Elementary
029,0170,Terra Centre Elementary School
029,0190,Woodson Adult High
029,0190,Woodson Adult High School
029,0200,Centreville High
029,0200,Centreville High School
029,0220,Dogwood Elementary
029,0220,Dogwood Elementary School
029,0250,Terraset Elementary
029,0250,Terraset Elementary School
029,0260,Clearview Elementary
029,0260,Clearview Elementary School
029,0270,Clifton Elementary
029,0270,Clifton Elementary School
029,0280,Sunrise Valley Elementary
029,0280,Sunrise Valley Elementary School
029,0290,Fairview Elementary
029,0290,Fairview Elementary School
029,0300,Rocky Run Middle
029,0300,Rocky Run Middle School
029,0320,Franconia Elementary
029,0320,Franconia Elementary School
029,0330,Groveton Elementary
029,0330,Groveton Elementary School
029,0350,Hughes Middle
029,0350,Langston Hughes Middle School
029,0370,Forestville Elementary
029,0370,Forestville Elementary School
029,0380,Woodlawn Elementary
029,0380,Woodlawn Elementary School
029,0390,Fox Mill Elementary
029,0390,Fox Mill Elementary School
029,0400,White Oaks Elementary
029,0400,White Oaks Elementary School
029,0420,Mount Vernon High
029,0420,Mount Vernon High School
029,0430,Oak Hill Elementary
029,0430,Oak Hill Elementary School
029,0440,Benjamin Franklin Middle School
029,0440,Franklin Middle
029,0470,Newington Forest Elementary
029,0470,Newington Forest Elementary School
029,0480,Cherry Run Elementary
029,0480,Cherry Run Elementary School
029,0490,Freedom Hill Elementary
029,0490,Freedom Hill Elementary School
029,0510,Mount Eagle Elementary
029,0510,Mount Eagle Elementary School
029,0520,Weyanoke Elementary
029,0520,Weyanoke Elementary School
029,0530,Graham Road Elementary
029,0530,Graham Road Elementary School
